latitude,longitude,descr_athmo,descr_lum,descr_etat_surf,descr_dispo_secu,descr_grav
47.3667,5.15,0.0,3.0,8.0,14.0,1
47.3667,5.15,0.0,3.0,8.0,14.0,1
47.1167,5.05,0.0,4.0,0.0,14.0,1
47.25,5.15,5.0,3.0,6.0,14.0,1
43.6167,3.73333,3.0,3.0,7.0,14.0,1
43.8333,3.91667,7.0,4.0,7.0,14.0,1
43.4167,3.3,3.0,3.0,7.0,8.0,1
43.65,3.55,3.0,4.0,7.0,14.0,1
43.3,3.41667,3.0,4.0,7.0,14.0,1
48.6333,4.95,5.0,4.0,6.0,14.0,1
48.6333,4.95,5.0,4.0,6.0,14.0,1
43.6667,1.48333,3.0,1.0,7.0,14.0,1
47.7833,-3.41667,3.0,3.0,7.0,14.0,1
47.6833,-2.55,3.0,0.0,7.0,14.0,1
47.5333,-2.76667,5.0,4.0,8.0,14.0,1
47.5333,-2.76667,5.0,4.0,8.0,14.0,1
47.5333,-1.88333,3.0,3.0,7.0,14.0,1
47.1667,-1.26667,3.0,4.0,7.0,14.0,1
47.6333,-2.13333,3.0,4.0,7.0,14.0,1
45.3833,1.36667,3.0,1.0,7.0,14.0,1
45.3167,1.76667,3.0,4.0,7.0,14.0,1
47.2667,-0.083333,3.0,4.0,7.0,14.0,1
44.2,4.15,3.0,4.0,7.0,14.0,1
48.4167,4.58333,6.0,4.0,8.0,14.0,1
48.4,4.46667,3.0,4.0,7.0,14.0,1
48.4,4.46667,3.0,4.0,7.0,14.0,1
48.4333,3.75,2.0,0.0,3.0,14.0,1
48.3667,3.53333,5.0,3.0,6.0,8.0,1
48.3667,3.53333,5.0,3.0,6.0,14.0,1
48.3667,3.53333,5.0,3.0,6.0,14.0,1
48.3667,3.53333,5.0,3.0,6.0,14.0,1
48.3667,3.53333,5.0,3.0,6.0,14.0,1
48.3667,3.53333,5.0,3.0,6.0,14.0,1
48.3333,4.7,3.0,4.0,7.0,14.0,1
48.2333,4.61667,3.0,4.0,7.0,14.0,1
48.2667,4.1,3.0,3.0,7.0,14.0,1
49.85,2.63333,3.0,3.0,7.0,14.0,1
46.9,-0.333333,5.0,3.0,6.0,14.0,1
43.1,5.88333,3.0,3.0,7.0,14.0,1
46.3167,2.26667,3.0,4.0,7.0,14.0,1
46.1667,2.01667,3.0,3.0,7.0,14.0,1
42.6333,2.75,3.0,4.0,7.0,14.0,1
42.4667,1.93333,3.0,4.0,7.0,14.0,1
42.5833,2.11667,3.0,4.0,7.0,14.0,1
48.75,3.98333,3.0,0.0,7.0,14.0,1
49.0167,4.41667,3.0,4.0,7.0,14.0,1
43.6833,1.4,3.0,1.0,7.0,14.0,1
49.1667,2.68333,3.0,4.0,7.0,14.0,1
